"Part";"Value";"Device";"Package";"Description";"FARNELLNRO";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"R44";"100R";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"1";"R";
"R45";"60K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R46";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R47";"60K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R48";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R49";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R50";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R51";"100R";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"1";"R";
"R52";"100R";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"1";"R";
"R53";"60K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R54";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R55";"60K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R56";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R57";"5K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R58";"5K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R59";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R60";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R61";"100R";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"1";"R";
"R62";"100R";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"1";"R";
"R63";"60K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R64";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R65";"60K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R66";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R67";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R68";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R69";"100R";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"1";"R";
"R70";"100R";"R-EU_0411/15";"0411/15";"RESISTOR, European symbol";"";"";"";"";"";"1";"R";
"R71";"60K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R72";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R73";"60K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"R74";"20K";"R-EU_R3216W";"R3216W";"RESISTOR, European symbol";"";"";"";"";"";"5";"R";
"X1";"0022232081";"22-23-2081";"22-23-2081";".100" (2.54mm) Center Header - 8 Pin";"";"MOLEX";"22-23-2081";"1756826";"01C7592";"0";"";
"X2";"0022232081";"22-23-2081";"22-23-2081";".100" (2.54mm) Center Header - 8 Pin";"";"MOLEX";"22-23-2081";"1756826";"01C7592";"0";"";
"X3";"0022232081";"22-23-2081";"22-23-2081";".100" (2.54mm) Center Header - 8 Pin";"";"MOLEX";"22-23-2081";"1756826";"01C7592";"0";"";
"X4";"0022232081";"22-23-2081";"22-23-2081";".100" (2.54mm) Center Header - 8 Pin";"";"MOLEX";"22-23-2081";"1756826";"01C7592";"0";"";
